fecha,licenciataria,demanda_millones_m3d
2021-01-14,Distribuidora de Gas del Centro,0.97553
2021-01-14,Camuzzi Gas Pampeana,2.412831
2021-01-14,Distribuidora de Gas Cuyana,1.13905
2021-01-15,MetroGAS,3.7312
2021-01-15,Distribuidora de Gas Cuyana,1.050594
2021-01-15,Distribuidora de Gas del Centro,0.983184
2021-01-15,Camuzzi Gas del Sur,3.63178
2021-01-15,Naturgy BAN,3.4
2021-01-15,Litoral Gas,1.48492
2021-01-15,GasNea,0.127806
2021-01-15,Naturgy NOA,1.38
2021-01-15,Camuzzi Gas Pampeana,2.092328
2021-01-16,Naturgy NOA,1.36
2021-01-16,Camuzzi Gas Pampeana,2.193221
2021-01-16,Distribuidora de Gas Cuyana,1.189832
2021-01-16,Naturgy BAN,2.77
2021-01-16,Distribuidora de Gas del Centro,1.123696
2021-01-16,Litoral Gas,1.233476
2021-01-16,Camuzzi Gas del Sur,3.539221
2021-01-16,GasNea,0.145405
2021-01-16,MetroGAS,3.2196
2021-01-17,Camuzzi Gas del Sur,3.296749
2021-01-17,Camuzzi Gas Pampeana,2.716861
2021-01-17,Distribuidora de Gas del Centro,0.983919
2021-01-17,Naturgy NOA,1.39
2021-01-17,Naturgy BAN,2.6
2021-01-17,Distribuidora de Gas Cuyana,0.835836
2021-01-17,GasNea,0.207159
2021-01-17,MetroGAS,2.9442
2021-01-17,Litoral Gas,1.02692
2021-01-18,Camuzzi Gas Pampeana,2.032088
2021-01-18,Litoral Gas,1.159278
2021-01-18,GasNea,0.168999
2021-01-18,Naturgy NOA,1.36
2021-01-18,Distribuidora de Gas Cuyana,0.966849
2021-01-18,Camuzzi Gas del Sur,3.122371
2021-01-18,MetroGAS,3.1353
2021-01-18,Distribuidora de Gas del Centro,0.944548
2021-01-18,Naturgy BAN,3.12
2021-01-19,Naturgy BAN,3.11
2021-01-19,GasNea,0.157252
2021-01-19,Distribuidora de Gas Cuyana,0.979211
2021-01-19,MetroGAS,3.1137
2021-01-19,Litoral Gas,1.033399
2021-01-19,Naturgy NOA,1.37
2021-01-19,Camuzzi Gas del Sur,3.521652
2021-01-19,Distribuidora de Gas del Centro,1.030643
2021-01-19,Camuzzi Gas Pampeana,2.084765
2021-01-20,Litoral Gas,0.935861
2021-01-20,Naturgy BAN,2.88
2021-01-20,Camuzzi Gas del Sur,2.428602
2021-01-20,Naturgy NOA,1.37
2021-01-20,Camuzzi Gas Pampeana,1.762029
2021-01-20,Distribuidora de Gas del Centro,0.971613
2021-01-20,Distribuidora de Gas Cuyana,0.948625
2021-01-20,GasNea,0.258299
2021-01-20,MetroGAS,2.9745
2021-01-21,Camuzzi Gas del Sur,2.57877
2021-01-21,MetroGAS,3.1008
2021-01-21,Naturgy BAN,3.03
2021-01-21,Litoral Gas,1.02056
2021-01-21,Distribuidora de Gas del Centro,0.70677
2021-01-21,Camuzzi Gas Pampeana,2.17835
2021-01-21,Naturgy NOA,1.41
2021-01-21,Distribuidora de Gas Cuyana,1.088813
2021-01-21,GasNea,0.236494
2021-01-22,Distribuidora de Gas Cuyana,1.03482
2021-01-22,Litoral Gas,0.882817
2021-01-22,Camuzzi Gas Pampeana,2.130621
2021-01-22,Camuzzi Gas del Sur,2.625845
2021-01-22,Naturgy BAN,2.86
2021-01-22,Naturgy NOA,1.42
2021-01-22,Distribuidora de Gas del Centro,0.888663
2021-01-22,GasNea,0.098671
2021-01-22,MetroGAS,3.0582
2021-01-23,GasNea,0.093543
2021-01-23,Naturgy BAN,2.27
2021-01-23,Distribuidora de Gas del Centro,0.786759
2021-01-23,Camuzzi Gas del Sur,2.79927
2021-01-23,Litoral Gas,0.867877
2021-01-23,Naturgy NOA,1.42
2021-01-23,MetroGAS,2.2923
2021-01-23,Camuzzi Gas Pampeana,2.304888
2021-01-23,Distribuidora de Gas Cuyana,1.04754
2021-01-24,Camuzzi Gas Pampeana,2.178224
2021-01-24,Naturgy BAN,2.02
2021-01-24,Distribuidora de Gas del Centro,0.784324
2021-01-24,Distribuidora de Gas Cuyana,0.6986
2021-01-24,Camuzzi Gas del Sur,2.505359
2021-01-24,Litoral Gas,0.704827
2021-01-24,MetroGAS,2.4063
2021-01-24,GasNea,0.139805
2021-01-24,Naturgy NOA,1.42
2021-01-25,Distribuidora de Gas del Centro,0.83002
2021-01-25,Naturgy BAN,3.02
2021-01-25,GasNea,0.199175
2021-01-25,Litoral Gas,1.050884
2021-01-25,Camuzzi Gas del Sur,3.050041
2021-01-25,Distribuidora de Gas Cuyana,0.74344
2021-01-25,Naturgy NOA,1.42
2021-01-25,Camuzzi Gas Pampeana,1.692557
2021-01-25,MetroGAS,2.9787
2021-01-26,Camuzzi Gas del Sur,3.91408
2021-01-26,Naturgy BAN,2.96
2021-01-26,Distribuidora de Gas Cuyana,1.150277
2021-01-26,Distribuidora de Gas del Centro,0.944851
2021-01-26,Litoral Gas,1.166179
2021-01-26,Camuzzi Gas Pampeana,2.078874
2021-01-26,Naturgy NOA,1.42
2021-01-26,MetroGAS,2.9117
2021-01-26,GasNea,0.297284
2021-01-27,MetroGAS,3.103
2021-01-27,Camuzzi Gas del Sur,4.292436
2021-01-27,Camuzzi Gas Pampeana,1.961652
2021-01-27,Naturgy NOA,1.42
2021-01-27,Naturgy BAN,2.77
2021-01-27,Distribuidora de Gas del Centro,1.013369
2021-01-27,Litoral Gas,0.99616
2021-01-27,Distribuidora de Gas Cuyana,1.221171
2021-01-27,GasNea,0.127233
2021-01-28,Camuzzi Gas Pampeana,2.140248
2021-01-28,Naturgy NOA,1.41
2021-01-28,Distribuidora de Gas del Centro,0.848542
2021-01-28,Litoral Gas,1.050971
2021-01-28,MetroGAS,3.1646
2021-01-28,Naturgy BAN,3.26
2021-01-28,Distribuidora de Gas Cuyana,1.070387
2021-01-28,GasNea,0.167635
2021-01-28,Camuzzi Gas del Sur,4.364126
2021-01-29,Distribuidora de Gas del Centro,0.818383
2021-01-29,Litoral Gas,1.006567
2021-01-29,Camuzzi Gas del Sur,5.028232
2021-01-29,Distribuidora de Gas Cuyana,1.208842
2021-01-29,Naturgy BAN,3.23
2021-01-29,MetroGAS,3.2713
2021-01-29,GasNea,0.109373
2021-01-29,Camuzzi Gas Pampeana,1.998243
2021-01-29,Naturgy NOA,1.41
2021-01-30,Naturgy BAN,3.07
2021-01-30,Litoral Gas,0.884611
2021-01-30,MetroGAS,3.2897
2021-01-30,Naturgy NOA,1.39
2021-01-30,GasNea,0.107165
2021-01-30,Distribuidora de Gas del Centro,1.211984
2021-01-30,Camuzzi Gas del Sur,4.384764
2021-01-30,Camuzzi Gas Pampeana,2.582101
2021-01-30,Distribuidora de Gas Cuyana,1.435821
2021-01-31,Naturgy BAN,2.97
2021-01-31,Camuzzi Gas del Sur,3.619387
2021-01-31,Distribuidora de Gas Cuyana,0.866576
2021-01-31,Distribuidora de Gas del Centro,1.101651
2021-01-31,MetroGAS,3.2403
2021-01-31,Camuzzi Gas Pampeana,2.336843
2021-01-31,Litoral Gas,1.025787
2021-01-31,GasNea,0.202366
2021-01-31,Naturgy NOA,1.19
2021-02-01,GasNea,0.14802
2021-02-01,Distribuidora de Gas del Centro,1.158265
2021-02-01,Camuzzi Gas Pampeana,2.043169
2021-02-01,Naturgy BAN,3.48
2021-02-01,Litoral Gas,1.349612
2021-02-01,Naturgy NOA,1.32
2021-02-01,Distribuidora de Gas Cuyana,1.380557
2021-02-01,Camuzzi Gas del Sur,3.758634
2021-02-01,MetroGAS,3.8778
2021-02-02,Distribuidora de Gas Cuyana,1.299205
2021-02-02,Distribuidora de Gas del Centro,1.362175
2021-02-02,Naturgy BAN,3.39
2021-02-02,GasNea,0.124554
2021-02-02,MetroGAS,3.9881
2021-02-02,Naturgy NOA,1.42
2021-02-02,Litoral Gas,1.29553
2021-02-02,Camuzzi Gas del Sur,3.251131
